DATE,PRCP,TMAX,TMIN,day,month,RECHIGH,AVGHIGH,RECLOW,AVGLOW,SNWDEP
2013-08-01,3.0,283.0,133.0,1,8,361.0,280.058823529,39.0,111.924369748,0.0
2013-08-02,43.0,250.0,106.0,2,8,344.0,275.857142857,28.0,106.949579832,0.0
2013-08-03,0.0,239.0,111.0,3,8,361.0,277.739495798,33.0,109.084033613,0.0
2013-08-04,0.0,261.0,111.0,4,8,367.0,274.87394958,50.0,103.773109244,0.0
2013-08-05,0.0,278.0,122.0,5,8,372.0,277.016806723,39.0,105.453781513,0.0
2013-08-06,23.0,278.0,78.0,6,8,361.0,281.218487395,56.0,104.554621849,0.0
2013-08-07,0.0,261.0,72.0,7,8,356.0,281.865546218,6.0,108.537815126,0.0
2013-08-08,13.0,278.0,111.0,8,8,350.0,278.25210084,22.0,105.042016807,0.0
2013-08-09,13.0,283.0,139.0,9,8,356.0,272.672268908,0.0,103.268907563,0.0
2013-08-10,0.0,250.0,100.0,10,8,361.0,274.840336134,17.0,106.159663866,0.0
2013-08-11,5.0,256.0,111.0,11,8,356.0,276.890756303,44.0,102.705882353,0.0
2013-08-12,0.0,267.0,89.0,12,8,350.0,273.075630252,33.0,103.260504202,0.0
2013-08-13,0.0,278.0,111.0,13,8,361.0,271.655462185,33.0,99.3361344538,0.0
2013-08-14,0.0,278.0,83.0,14,8,372.0,272.546218487,11.0,101.974789916,0.0
2013-08-15,0.0,311.0,117.0,15,8,356.0,272.731092437,17.0,99.2521008403,0.0
2013-08-16,0.0,333.0,133.0,16,8,350.0,269.661016949,6.0,98.1260504202,0.0
2013-08-17,0.0,333.0,133.0,17,8,333.0,273.13559322,17.0,96.6525423729,0.0
2013-08-18,0.0,300.0,128.0,18,8,333.0,267.991525424,6.0,100.722689076,0.0
2013-08-19,0.0,306.0,133.0,19,8,339.0,268.243697479,6.0,95.4537815126,0.0
2013-08-20,0.0,306.0,111.0,20,8,344.0,264.294117647,-22.0,94.2100840336,0.0
2013-08-21,0.0,300.0,117.0,21,8,350.0,266.092436975,11.0,93.2016806723,0.0
2013-08-22,0.0,294.0,117.0,22,8,344.0,268.462184874,11.0,89.4033613445,0.0
2013-08-23,10.0,294.0,133.0,23,8,339.0,264.168067227,0.0,94.2016806723,0.0
2013-08-24,46.0,261.0,94.0,24,8,350.0,263.25210084,-6.0,88.8655462185,0.0
2013-08-25,5.0,289.0,111.0,25,8,350.0,261.605042017,-33.0,88.8319327731,0.0
2013-08-26,0.0,311.0,128.0,26,8,350.0,261.092436975,0.0,90.4285714286,0.0
2013-08-27,8.0,283.0,111.0,27,8,339.0,254.050420168,6.0,88.218487395,0.0
2013-08-28,15.0,272.0,128.0,28,8,350.0,255.193277311,0.0,88.9075630252,0.0
2013-08-29,5.0,272.0,100.0,29,8,344.0,251.924369748,-6.0,83.9579831933,0.0
2013-08-30,0.0,289.0,117.0,30,8,339.0,251.647058824,-17.0,85.9831932773,0.0
2013-08-31,0.0,294.0,94.0,31,8,344.0,244.058823529,-6.0,79.2268907563,0.0
2013-09-01,0.0,294.0,117.0,1,9,333.0,239.403361345,-22.0,77.8907563025,0.0
2013-09-02,0.0,294.0,139.0,2,9,350.0,241.474137931,6.0,79.2288135593,0.0
2013-09-03,0.0,267.0,117.0,3,9,333.0,230.754237288,-6.0,73.6440677966,0.0
2013-09-04,18.0,272.0,94.0,4,9,328.0,238.279661017,-17.0,75.3898305085,0.0
2013-09-05,10.0,283.0,139.0,5,9,339.0,235.907563025,0.0,75.1764705882,0.0
2013-09-06,30.0,278.0,89.0,6,9,322.0,229.855932203,-11.0,72.3361344538,0.0
