DATE,PRCP,TMAX,TMIN
20141101,0,200,78
20141102,18,178,39
20141103,0,83,-61
20141104,0,111,-39
20141105,0,128,61
20141106,0,156,6
20141107,0,150,67
20141108,0,128,-33
20141109,3,172,0
20141110,51,122,-128
20141111,0,-100,-194
20141112,0,-128,-244
20141113,0,-111,-228
20141114,20,-111,-217
20141115,28,-111,-200
20141116,0,-50,-217
20141117,0,-28,-189
20141118,0,-6,-161
20141119,0,39,-117
20141120,0,94,-111
20141121,0,83,-67
20141122,10,72,0
20141123,5,33,-39
20141124,0,22,-22
20141125,41,28,-6
20141126,178,28,-33
20141127,3,117,-6
20141128,0,106,39
20141129,28,106,-167
20141130,30,-100,-256
20141201,0,-39,-233
20141202,3,17,-150
20141203,0,22,-117
20141204,0,67,-11
20141205,3,128,6
20141206,0,83,-22
20141207,8,89,-44
20141208,0,72,-39
20141209,0,111,-33
20141210,0,111,-6
20141211,0,156,6
20141212,0,167,44
20141213,10,156,-6
20141214,36,0,-50
20141215,46,-17,-94
20141216,0,-28,-128
20141217,15,44,-61
20141218,0,39,-106
20141219,0,61,-56
20141220,0,44,-50
20141221,18,61,-33
20141222,5,33,-22
20141223,8,22,-28
20141224,0,44,-39
20141225,84,39,-56
20141226,3,-56,-133
20141227,0,-33,-172
20141228,13,-22,-83
20141229,18,-83,-161
20141230,0,-161,-278
20141231,0,-94,-267
,,,
