STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,WT01,WT05,WT04,WT03
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140210,0,406,0,-17,-167,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140211,8,305,8,33,-33,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140212,0,279,0,67,-89,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140213,8,229,8,67,-6,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140214,0,229,0,50,-61,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140215,10,229,0,61,-33,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140216,43,229,43,78,-17,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140217,0,229,0,61,-67,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140218,0,229,0,61,-44,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140219,0,229,0,50,-28,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140220,0,229,0,0,-72,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140221,0,229,0,0,-56,-9999,-9999,-9999,-9999
GHCND:USC00241044,BOZEMAN MONTANA SU MT US,1497.5,45.6622,-111.0452,20140222,36,305,71,-28,-106,-9999,-9999,-9999,-9999
